PRN Index,PRN VRAM,PRN Type,GPU Index
0,100,0,0
140,50,0,0
1,100,0,1
141,50,0,1
2,99,0,2
137,51,0,2
3,99,0,3
138,51,0,3
4,99,0,4
139,51,0,4
5,99,0,5
142,50,0,5
6,99,0,6
143,49,0,6
7,99,0,7
144,49,0,7
8,98,0,8
135,52,0,8
9,97,0,9
128,53,0,9
10,97,0,10
129,53,0,10
11,97,0,11
130,53,0,11
12,96,0,12
126,54,0,12
13,96,0,13
127,54,0,13
14,96,0,14
131,53,0,14
15,95,0,15
123,55,0,15
16,95,0,16
124,55,0,16
17,95,0,17
125,55,0,17
18,95,0,18
132,53,0,18
19,94,0,19
120,56,0,19
20,94,0,20
121,56,0,20
21,94,0,21
122,56,0,21
22,94,0,22
133,53,0,22
23,93,0,23
118,57,0,23
24,93,0,24
119,57,0,24
25,92,0,25
117,58,0,25
26,92,0,26
134,53,0,26
27,92,0,27
136,52,0,27
28,92,0,28
145,49,0,28
29,91,0,29
114,59,0,29
30,91,0,30
115,59,0,30
31,91,0,31
116,59,0,31
32,91,0,32
146,49,0,32
33,90,0,33
113,60,0,33
34,89,0,34
111,61,0,34
35,89,0,35
112,61,0,35
36,88,0,36
109,62,0,36
37,88,0,37
110,62,0,37
38,88,0,38
147,48,0,38
39,88,0,39
148,48,0,39
40,87,0,40
149,48,0,40
41,87,0,41
150,47,0,41
42,87,0,42
151,47,0,42
43,86,0,43
107,64,0,43
44,86,0,44
108,64,0,44
45,86,0,45
152,47,0,45
46,86,0,46
153,47,0,46
47,86,0,47
154,46,0,47
48,86,0,48
155,46,0,48
49,85,0,49
104,65,0,49
50,83,0,50
96,67,0,50
51,83,0,51
97,67,0,51
52,83,0,52
98,67,0,52
53,83,0,53
99,67,0,53
54,83,0,54
100,67,0,54
55,83,0,55
101,67,0,55
56,83,0,56
102,66,0,56
57,82,0,57
93,68,0,57
58,82,0,58
94,68,0,58
59,82,0,59
95,68,0,59
60,81,0,60
88,69,0,60
61,81,0,61
89,69,0,61
62,81,0,62
90,69,0,62
63,81,0,63
91,69,0,63
64,80,0,64
85,70,0,64
65,80,0,65
86,70,0,65
66,80,0,66
87,70,0,66
67,79,0,67
92,69,0,67
68,79,0,68
103,66,0,68
69,79,0,69
105,65,0,69
70,78,0,70
84,72,0,70
71,78,0,71
106,65,0,71
72,77,0,72
156,45,0,72
204,28,0,72
73,77,0,73
157,45,0,73
205,28,0,73
74,76,0,74
82,74,0,74
75,76,0,75
83,74,0,75
76,76,0,76
158,45,0,76
202,29,0,76
77,76,0,77
159,44,0,77
203,29,0,77
78,75,0,78
79,75,0,78
80,75,0,79
81,75,0,79
160,44,0,80
161,43,0,80
162,43,0,80
163,42,0,81
164,42,0,81
165,41,0,81
213,25,0,81
166,40,0,82
167,40,0,82
168,40,0,82
206,27,0,82
169,39,0,83
170,39,0,83
171,39,0,83
197,33,0,83
172,39,0,84
173,39,0,84
174,38,0,84
195,34,0,84
175,38,0,85
176,38,0,85
177,38,0,85
184,36,0,85
178,38,0,86
179,38,0,86
180,37,0,86
181,37,0,86
182,37,0,87
183,37,0,87
185,36,0,87
186,36,0,87
187,36,0,88
188,36,0,88
189,36,0,88
190,36,0,88
191,35,0,89
192,35,0,89
193,35,0,89
194,35,0,89
196,34,0,90
198,33,0,90
199,33,0,90
200,32,0,90
201,31,0,91
207,27,0,91
208,27,0,91
209,27,0,91
210,27,0,91
211,26,0,92
212,26,0,92
214,25,0,92
215,24,0,92
216,24,0,92
217,24,0,92
218,23,0,93
219,23,0,93
220,23,0,93
221,23,0,93
222,22,0,93
223,21,0,93
224,21,0,94
225,21,0,94
226,100,1,95
361,50,1,95
227,100,1,96
362,50,1,96
228,99,1,97
359,51,1,97
229,99,1,98
360,51,1,98
230,98,1,99
358,52,1,99
231,96,1,100
350,54,1,100
232,96,1,101
351,54,1,101
233,96,1,102
352,54,1,102
234,96,1,103
353,54,1,103
235,95,1,104
349,55,1,104
236,94,1,105
346,56,1,105
237,93,1,106
345,57,1,106
238,93,1,107
347,56,1,107
239,93,1,108
348,56,1,108
240,92,1,109
342,58,1,109
241,92,1,110
343,58,1,110
242,92,1,111
344,58,1,111
243,92,1,112
354,54,1,112
244,92,1,113
355,53,1,113
245,91,1,114
336,59,1,114
246,91,1,115
337,59,1,115
247,90,1,116
332,60,1,116
248,90,1,117
333,60,1,117
249,89,1,118
326,61,1,118
250,88,1,119
321,62,1,119
251,88,1,120
322,62,1,120
252,88,1,121
323,62,1,121
253,87,1,122
317,63,1,122
254,87,1,123
318,63,1,123
255,86,1,124
313,64,1,124
256,84,1,125
310,66,1,125
257,84,1,126
311,66,1,126
258,83,1,127
306,67,1,127
259,83,1,128
307,67,1,128
260,82,1,129
300,68,1,129
261,82,1,130
301,68,1,130
262,82,1,131
302,68,1,131
263,82,1,132
303,68,1,132
264,81,1,133
297,69,1,133
265,81,1,134
298,69,1,134
266,81,1,135
299,69,1,135
267,81,1,136
304,68,1,136
268,81,1,137
305,68,1,137
269,81,1,138
308,67,1,138
270,81,1,139
309,67,1,139
271,81,1,140
312,65,1,140
272,80,1,141
296,70,1,141
273,79,1,142
294,71,1,142
274,79,1,143
295,71,1,143
275,79,1,144
314,64,1,144
276,79,1,145
315,64,1,145
277,78,1,146
292,72,1,146
278,78,1,147
293,72,1,147
279,77,1,148
289,73,1,148
280,77,1,149
290,73,1,149
281,77,1,150
291,73,1,150
282,76,1,151
288,74,1,151
283,76,1,152
316,64,1,152
284,76,1,153
319,63,1,153
285,75,1,154
286,75,1,154
287,75,1,155
320,63,1,155
324,62,1,156
325,62,1,156
442,25,1,156
327,61,1,157
328,61,1,157
435,28,1,157
329,61,1,158
330,61,1,158
436,28,1,158
331,61,1,159
334,60,1,159
433,29,1,159
335,60,1,160
338,59,1,160
428,31,1,160
339,59,1,161
340,59,1,161
425,32,1,161
341,59,1,162
356,53,1,162
404,38,1,162
357,53,1,163
363,49,1,163
366,48,1,163
364,49,1,164
365,49,1,164
367,48,1,164
368,48,1,165
369,48,1,165
370,47,1,165
371,47,1,166
372,47,1,166
373,47,1,166
374,46,1,167
375,46,1,167
376,45,1,167
377,45,1,168
